Model,Radius,N,Bias,MAE,RMSE,Median_Err,P10,P90
Rankine,R34,18766,0.11502184802302036,43.341575189171905,64.96490010790484,-6.75,-64.5,71.5
Rankine,R50,10809,-3.668486138094798,22.359638572794275,32.34902119690003,-3.0,-39.5,31.0
Rankine,R64,7537,2.011255583565521,14.484587147848394,20.643758855390338,1.0,-21.0,26.0
Holland1980,R34,18609,4.7484684829921004,38.12274974474717,49.69209080503074,7.5,-55.25,61.5
Holland1980,R50,10682,6.1712928290582285,22.877668039692942,28.93446121862273,9.25,-30.0,38.0
Holland1980,R64,7426,9.744793069395818,16.496072358380466,21.205059028065847,10.0,-12.25,31.5
Holland2010,R34,18761,107.44455252918289,113.00627631789351,146.89518901137612,84.5,2.25,265.0
Holland2010,R50,10809,46.054985043328095,51.547537545872274,69.8494953628623,36.5,-5.0,111.5
Holland2010,R64,7537,33.670005749414,36.56824112157799,48.28766430794797,28.0,-1.0,76.0
Willoughby2006,R34,18766,57.40128423745071,64.32044655227538,74.68953543756552,62.0,-5.75,114.0
Willoughby2006,R50,10809,53.824251395442076,56.79719061276097,64.58004576123436,57.5,6.75,97.25
Willoughby2006,R64,7537,50.613219229578526,51.553779134049805,57.33327952897535,54.0,13.400000000000006,82.85000000000014
Emanuel2004,R34,18766,92.47268997122455,101.45595758286262,141.09468126610483,62.25,-11.5,265.75
Emanuel2004,R50,10809,47.19616369075154,54.187883553828605,77.47490898536826,33.5,-10.0,125.30000000000018
Emanuel2004,R64,7537,36.9637565786564,40.19103533678298,54.930335435577994,28.5,-2.0,90.0
Chavas2015,R34,18766,-28.500239795374615,36.66420654374934,49.25460945476912,-23.75,-79.0,14.0
Chavas2015,R50,10809,-11.575970641749159,20.12256761340858,28.343902935300566,-8.0,-44.0,15.25
Chavas2015,R64,7537,-1.4739507319446288,12.560479412675248,17.37357504327544,-1.0,-22.25,18.0
